step,task1_mean_1,task1_upper_1,task1_lower_1,task1_mean_2,task1_upper_2,task1_lower_2,task1_mean_3,task1_upper_3,task1_lower_3
30000,0,0,0,0.024,0.072,-0.024,0.124,0.345971423,-0.097971423
37500,0,0,0,0.024,0.072,-0.024,0.124,0.345971423,-0.097971423
45000,0,0,0,0.06,0.18,-0.06,0.124,0.345971423,-0.097971423
52500,0.04,0.129442719,-0.049442719,0.06,0.18,-0.06,0.132,0.3515343,-0.0875343
60000,0.068,0.220052622,-0.084052622,0.052,0.156,-0.052,0.132,0.3515343,-0.0875343
67500,0.068,0.220052622,-0.084052622,0.052,0.156,-0.052,0.084,0.233562878,-0.065562878
75000,0.068,0.220052622,-0.084052622,0.052,0.156,-0.052,0.112,0.317562878,-0.093562878
82500,0.068,0.220052622,-0.084052622,0.056,0.168,-0.056,0.112,0.317562878,-0.093562878
90000,0.068,0.220052622,-0.084052622,0.056,0.168,-0.056,0.124,0.325756356,-0.077756356
97500,0.04,0.129442719,-0.049442719,0.056,0.168,-0.056,0.136,0.335727778,-0.063727778
105000,0.04,0.129442719,-0.049442719,0.084,0.252,-0.084,0.136,0.335727778,-0.063727778
112500,0.04,0.129442719,-0.049442719,0.116,0.338552727,-0.106552727,0.12,0.273525737,-0.033525737
120000,0.08,0.258885438,-0.098885438,0.1,0.290552727,-0.090552727,0.188,0.426942363,-0.050942363
127500,0.08,0.258885438,-0.098885438,0.156,0.424936399,-0.112936399,0.2,0.432832146,-0.032832146
135000,0.12,0.388328157,-0.148328157,0.176,0.460936399,-0.108936399,0.196,0.415992151,-0.023992151
142500,0.12,0.388328157,-0.148328157,0.184,0.484936399,-0.116936399,0.272,0.566181098,-0.022181098
150000,0.16,0.517770876,-0.197770876,0.232,0.576363261,-0.112363261,0.356,0.725612243,-0.013612243
157500,0.124,0.401272429,-0.153272429,0.232,0.576363261,-0.112363261,0.388,0.750169971,0.025830029
165000,0.084,0.27182971,-0.10382971,0.22,0.564363261,-0.124363261,0.44,0.810838969,0.069161031
172500,0.044,0.142386991,-0.054386991,0.26,0.642525898,-0.122525898,0.484,0.876295073,0.091704927
180000,0.116,0.312977051,-0.080977051,0.264,0.654525898,-0.126525898,0.444,0.800887564,0.087112436
187500,0.124,0.318252266,-0.070252266,0.248,0.62291135,-0.12691135,0.444,0.786538641,0.101461359
195000,0.152,0.373639798,-0.069639798,0.236,0.58691135,-0.11491135,0.436,0.760697472,0.111302528
202500,0.172,0.428280814,-0.084280814,0.272,0.642507268,-0.098507268,0.408,0.722594117,0.093405883
210000,0.196,0.505946446,-0.113946446,0.232,0.588344631,-0.124344631,0.444,0.749748969,0.138251031
217500,0.216,0.528943786,-0.096943786,0.26,0.619867083,-0.099867083,0.5,0.8495266,0.1504734
225000,0.268,0.594225853,-0.058225853,0.256,0.599228749,-0.087228749,0.512,0.881508953,0.142491047
232500,0.352,0.748101393,-0.044101393,0.316,0.717787818,-0.085787818,0.56,0.942039376,0.177960624
240000,0.316,0.717787818,-0.085787818,0.384,0.824958804,-0.056958804,0.548,0.935827595,0.160172405
247500,0.324,0.73217149,-0.08417149,0.452,0.940880574,-0.036880574,0.512,0.916433344,0.107566656
255000,0.356,0.766439481,-0.054439481,0.436,0.908616089,-0.036616089,0.5,0.900867945,0.099132055
262500,0.396,0.824617481,-0.032617481,0.384,0.823847034,-0.055847034,0.52,0.906529918,0.133470082
270000,0.396,0.816462713,-0.024462713,0.376,0.787870119,-0.035870119,0.48,0.861983855,0.098016145
