step,task4_mean_1,task4_upper_1,task4_lower_1,task4_mean_2,task4_upper_2,task4_lower_2,task4_mean_3,task4_upper_3,task4_lower_3
30000,0,0,0,0,0,0,0.012,0.036,-0.012
37500,0,0,0,0,0,0,0.012,0.036,-0.012
45000,0,0,0,0,0,0,0.012,0.036,-0.012
52500,0,0,0,0,0,0,0.132,0.25397959,0.01002041
60000,0,0,0,0,0,0,0.172,0.37397959,-0.02997959
67500,0,0,0,0,0,0,0.16,0.33797959,-0.01797959
75000,0,0,0,0,0,0,0.24,0.515959179,-0.035959179
82500,0,0,0,0,0,0,0.32,0.693938769,-0.053938769
90000,0,0,0,0,0,0,0.324,0.69325441,-0.04525441
97500,0,0,0,0.036,0.108,-0.036,0.36,0.74254964,-0.02254964
105000,0.08,0.258885438,-0.098885438,0.096,0.248,-0.056,0.428,0.895966266,-0.039966266
112500,0.08,0.258885438,-0.098885438,0.12,0.32,-0.08,0.46,0.922593372,-0.002593372
120000,0.08,0.258885438,-0.098885438,0.18,0.46,-0.1,0.5,0.962593372,0.037406628
127500,0.12,0.388328157,-0.148328157,0.228,0.568133186,-0.112133186,0.496,0.963277731,0.028722269
135000,0.12,0.388328157,-0.148328157,0.272,0.638112775,-0.094112775,0.54,1.01196209,0.06803791
142500,0.16,0.517770876,-0.197770876,0.28,0.651529401,-0.091529401,0.632,1.098545464,0.165454536
150000,0.16,0.517770876,-0.197770876,0.32,0.725894442,-0.085894442,0.68,1.133938769,0.226061231
157500,0.2,0.647213595,-0.247213595,0.276,0.633894442,-0.081894442,0.72,1.155959179,0.284040821
165000,0.24,0.707315388,-0.227315388,0.348,0.743740847,-0.047740847,0.76,1.17797959,0.34202041
172500,0.32,0.80741718,-0.16741718,0.316,0.691324135,-0.059324135,0.8,1.2,0.4
180000,0.36,0.867518973,-0.147518973,0.328,0.715887098,-0.059887098,0.78,1.18,0.38
187500,0.4,0.927620765,-0.127620765,0.344,0.747501647,-0.059501647,0.78,1.18,0.38
195000,0.4,0.947722558,-0.147722558,0.448,0.917481237,-0.021481237,0.78,1.18,0.38
202500,0.4,0.947722558,-0.147722558,0.452,0.916796877,-0.012796877,0.74,1.15797959,0.32202041
210000,0.404,0.94838539,-0.14038539,0.504,0.980676719,0.027323281,0.74,1.15797959,0.32202041
217500,0.444,0.98838539,-0.10038539,0.58,1.037080801,0.122919199,0.76,1.17797959,0.34202041
225000,0.48,1.021048223,-0.061048223,0.66,1.099101211,0.220898789,0.76,1.17797959,0.34202041
232500,0.504,1.035902915,-0.027902915,0.7,1.121121621,0.278878379,0.76,1.17797959,0.34202041
240000,0.544,1.075902915,0.012097085,0.736,1.143826391,0.328173609,0.78,1.18,0.38
247500,0.58,1.115240082,0.044759918,0.796,1.194383672,0.397616328,0.78,1.18,0.38
255000,0.54,1.075240082,0.004759918,0.76,1.17797959,0.34202041,0.74,1.15797959,0.32202041
262500,0.544,1.082577249,0.005422751,0.76,1.17797959,0.34202041,0.74,1.15797959,0.32202041
270000,0.52,1.067722558,-0.027722558,0.756,1.172363261,0.339636739,0.7,1.135959179,0.264040821
277500,0.48,1.027722558,-0.067722558,0.756,1.172363261,0.339636739,0.708,1.141522057,0.274477943
285000,0.48,1.027722558,-0.067722558,0.752,1.166746933,0.337253067,0.708,1.141522057,0.274477943
292500,0.52,1.067722558,-0.027722558,0.792,1.188767344,0.395232656,0.748,1.163542467,0.332457533
300000,0.52,1.067722558,-0.027722558,0.752,1.166746933,0.337253067,0.776,1.135542467,0.416457533
307500,0.56,1.107722558,0.012277442,0.716,1.150342851,0.281657149,0.836,1.137562878,0.534437122
315000,0.6,1.147722558,0.052277442,0.716,1.150342851,0.281657149,0.868,1.132,0.604
322500,0.6,1.147722558,0.052277442,0.712,1.145522057,0.278477943,0.908,1.092,0.724
330000,0.6,1.147722558,0.052277442,0.712,1.145522057,0.278477943,0.908,1.092,0.724
337500,0.6,1.147722558,0.052277442,0.696,1.121342245,0.270657755,0.9,1.1,0.7
345000,0.6,1.147722558,0.052277442,0.696,1.121342245,0.270657755,0.872,1.096,0.648
352500,0.6,1.147722558,0.052277442,0.692,1.115725916,0.268274084,0.844,1.105562878,0.582437122
360000,0.6,1.147722558,0.052277442,0.7,1.126163039,0.273836961,0.764,1.123542467,0.404457533
367500,0.6,1.147722558,0.052277442,0.7,1.126163039,0.273836961,0.8,1.087542467,0.512457533
375000,0.612,1.145676737,0.078323263,0.736,1.152363261,0.319636739,0.74,1.085522057,0.394477943
382500,0.612,1.145676737,0.078323263,0.776,1.174383672,0.377616328,0.748,1.109522057,0.386477943
390000,0.612,1.145676737,0.078323263,0.78,1.18,0.38,0.716,1.097938769,0.334061231
397500,0.612,1.145676737,0.078323263,0.764,1.162383672,0.365616328,0.796,1.079959179,0.512040821
405000,0.612,1.145676737,0.078323263,0.764,1.162383672,0.365616328,0.8,1.075959179,0.524040821
412500,0.624,1.149813655,0.098186345,0.824,1.142383672,0.505616328,0.88,1.05797959,0.70202041
420000,0.624,1.149813655,0.098186345,0.824,1.142383672,0.505616328,0.92,1.01797959,0.82202041
427500,0.656,1.158987077,0.153012923,0.828,1.138383672,0.517616328,1,1,1
435000,0.656,1.158987077,0.153012923,0.844,1.156,0.532,1,1,1
442500,0.656,1.158987077,0.153012923,0.884,1.116,0.652,0.96,1.04,0.88
450000,0.672,1.176794187,0.167205813,0.844,1.156,0.532,0.952,1.048,0.856
457500,0.672,1.176794187,0.167205813,0.844,1.156,0.532,0.94,1.06,0.82
465000,0.6,1.127620765,0.072379235,0.856,1.144,0.568,0.912,1.088,0.736
472500,0.524,1.029711863,0.018288137,0.884,1.116,0.652,0.904,1.096,0.712
480000,0.512,1.009754752,0.014245248,0.844,1.156,0.532,0.944,1.056,0.832
487500,0.508,1.003947642,0.012052358,0.884,1.116,0.652,0.92,1.08,0.76
495000,0.532,1.00603874,0.05796126,0.924,1.076,0.772,0.896,1.104,0.688
502500,0.6,1.051212162,0.148787838,0.944,1.056,0.832,0.924,1.076,0.772
510000,0.676,1.149121064,0.202878936,0.956,1.044,0.868,0.912,1.088,0.736
517500,0.692,1.167840902,0.216159098,0.996,1.004,0.988,0.912,1.088,0.736
525000,0.656,1.153749804,0.158250196,0.988,1.012,0.964,0.944,1.056,0.832
532500,0.664,1.160832129,0.167167871,0.988,1.012,0.964,0.98,1.02,0.94
540000,0.66,1.157749804,0.162250196,0.952,1.048,0.856,0.972,1.028,0.916
547500,0.664,1.156512531,0.171487469,0.94,1.06,0.82,0.992,1.008,0.976
555000,0.664,1.156512531,0.171487469,0.916,1.084,0.748,0.992,1.008,0.976
562500,0.664,1.156512531,0.171487469,0.88,1.110383672,0.649616328,0.988,1.012,0.964
570000,0.636,1.146101836,0.125898164,0.8,1.128363261,0.471636739,0.984,1.016,0.952
577500,0.652,1.163908946,0.140091054,0.8,1.128363261,0.471636739,0.992,1.008,0.976
585000,0.656,1.163200904,0.148799096,0.796,1.132363261,0.459636739,0.992,1.008,0.976
592500,0.668,1.162980581,0.173019419,0.78,1.148363261,0.411636739,0.98,1.02,0.94
600000,0.668,1.162980581,0.173019419,0.824,1.11397959,0.53402041,0.984,1.016,0.952
607500,0.704,1.184116062,0.223883938,0.904,1.096,0.712,0.988,1.012,0.964
615000,0.704,1.184116062,0.223883938,0.944,1.056,0.832,0.988,1.012,0.964
622500,0.704,1.184116062,0.223883938,0.96,1.04,0.88,0.988,1.012,0.964
630000,0.716,1.19074708,0.24125292,1,1,1,1,1,1
637500,0.752,1.204838178,0.299161822,1,1,1,1,1,1
645000,0.716,1.183702697,0.248297303,1,1,1,0.98,1.02,0.94
652500,0.716,1.183702697,0.248297303,1,1,1,0.96,1.04,0.88
660000,0.748,1.205546219,0.290453781,0.968,1.032,0.904,0.96,1.04,0.88
667500,0.756,1.214463895,0.297536105,0.968,1.032,0.904,0.96,1.04,0.88
675000,0.748,1.205546219,0.290453781,0.968,1.032,0.904,0.96,1.04,0.88
682500,0.784,1.2266817,0.3413183,0.964,1.036,0.892,0.98,1.02,0.94
690000,0.784,1.2266817,0.3413183,0.964,1.036,0.892,1,1,1
697500,0.784,1.2266817,0.3413183,0.996,1.004,0.988,1,1,1
705000,0.788,1.23248881,0.34351119,0.996,1.004,0.988,1,1,1
712500,0.8,1.247213595,0.352786405,0.996,1.004,0.988,1,1,1
720000,0.8,1.247213595,0.352786405,1,1,1,1,1,1
727500,0.8,1.247213595,0.352786405,0.996,1.004,0.988,1,1,1
735000,0.78,1.227213595,0.332786405,0.996,1.004,0.988,1,1,1
742500,0.78,1.227213595,0.332786405,0.996,1.004,0.988,1,1,1
750000,0.776,1.221406486,0.330593514,0.996,1.004,0.988,1,1,1
757500,0.776,1.221406486,0.330593514,0.996,1.004,0.988,1,1,1
765000,0.776,1.221406486,0.330593514,1,1,1,1,1,1
772500,0.796,1.241406486,0.350593514,1,1,1,1,1,1
780000,0.792,1.235599376,0.348400624,1,1,1,1,1,1
787500,0.796,1.241406486,0.350593514,1,1,1,1,1,1
795000,0.796,1.241406486,0.350593514,1,1,1,1,1,1
802500,0.796,1.241406486,0.350593514,1,1,1,1,1,1
810000,0.756,1.221508278,0.290491722,1,1,1,1,1,1
817500,0.76,1.227315388,0.292684612,1,1,1,1,1,1
825000,0.76,1.227315388,0.292684612,1,1,1,0.964,1.036,0.892
832500,0.76,1.227315388,0.292684612,1,1,1,0.964,1.036,0.892
840000,0.736,1.205959584,0.266040416,1,1,1,0.952,1.048,0.856
847500,0.776,1.225857792,0.326142208,1,1,1,0.952,1.048,0.856
855000,0.776,1.225857792,0.326142208,1,1,1,0.952,1.048,0.856
862500,0.804,1.191247888,0.416752112,1,1,1,0.98,1.02,0.94
870000,0.808,1.186303617,0.429696383,1,1,1,0.98,1.02,0.94
877500,0.852,1.182938061,0.521061939,1,1,1,0.976,1.024,0.928
885000,0.852,1.182938061,0.521061939,1,1,1,0.976,1.024,0.928
892500,0.852,1.182938061,0.521061939,1,1,1,0.976,1.024,0.928
900000,0.824,1.217547964,0.430452036,0.996,1.004,0.988,0.984,1.016,0.952
907500,0.82,1.222492236,0.417507764,0.996,1.004,0.988,0.976,1.024,0.928
915000,0.8,1.247213595,0.352786405,0.984,1.016,0.952,0.992,1.008,0.976
922500,0.8,1.247213595,0.352786405,0.984,1.016,0.952,0.984,1.016,0.952
930000,0.816,1.227436508,0.404563492,0.984,1.016,0.952,0.984,1.016,0.952
937500,0.856,1.177993789,0.534006211,0.988,1.012,0.964,0.944,1.056,0.832
945000,0.876,1.153272429,0.598727571,0.98,1.02,0.94,0.952,1.048,0.856
952500,0.876,1.153272429,0.598727571,0.992,1.008,0.976,0.952,1.048,0.856
960000,0.896,1.12855107,0.66344893,0.992,1.008,0.976,0.96,1.04,0.88
967500,0.88,1.148328157,0.611671843,0.992,1.008,0.976,0.96,1.04,0.88
975000,0.84,1.197770876,0.482229124,0.992,1.008,0.976,1,1,1
982500,0.82,1.222492236,0.417507764,1,1,1,1,1,1
990000,0.816,1.216685126,0.415314874,0.996,1.004,0.988,1,1,1
997500,0.804,1.231517942,0.376482058,0.996,1.004,0.988,1,1,1
1000000,0.824,1.206796582,0.441203418,0.996,1.004,0.988,1,1,1
