x,y,label,env_name
0.7254803,0.3398546,0,reach-v2
0.68898326,0.33016875,0,reach-v2
0.6196937,0.20183752,0,reach-v2
0.9147421,0.23389286,0,reach-v2
0.81470877,0.4096999,0,reach-v2
0.74242187,0.34164116,0,reach-v2
0.83088106,0.47592115,0,reach-v2
0.7500063,0.32094803,0,reach-v2
0.69119704,0.29027155,0,reach-v2
0.80257934,0.3523659,0,reach-v2
0.88665175,0.21781376,0,reach-v2
0.72925,0.31800407,0,reach-v2
0.91750216,0.4971609,0,reach-v2
0.92253554,0.37936065,0,reach-v2
0.8582518,0.16973673,0,reach-v2
0.8607844,0.17498839,0,reach-v2
0.8055819,0.38532874,0,reach-v2
0.67293435,0.38180044,0,reach-v2
0.91262877,0.35030985,0,reach-v2
0.76968116,0.2627127,0,reach-v2
0.9279322,0.41909328,0,reach-v2
0.81208545,0.22984688,0,reach-v2
0.76877266,0.296831,0,reach-v2
0.91347957,0.30090198,0,reach-v2
1.0,0.28224972,0,reach-v2
0.7130365,0.4066448,0,reach-v2
0.852566,0.2862323,0,reach-v2
0.8123021,0.31785595,0,reach-v2
0.79055643,0.30716026,0,reach-v2
0.7941663,0.46291497,0,reach-v2
0.92749685,0.25035915,0,reach-v2
0.74311393,0.2161708,0,reach-v2
0.8013877,0.16387598,0,reach-v2
0.75185794,0.38478887,0,reach-v2
0.9108653,0.38895017,0,reach-v2
0.79872274,0.27928638,0,reach-v2
0.6515164,0.31846488,0,reach-v2
0.91066384,0.26885673,0,reach-v2
0.97434235,0.34629974,0,reach-v2
0.73448867,0.33675268,0,reach-v2
0.9264504,0.27794793,0,reach-v2
0.72608125,0.30170113,0,reach-v2
0.7734045,0.1295115,0,reach-v2
0.81686825,0.39352247,0,reach-v2
0.8598889,0.4787424,0,reach-v2
0.86372495,0.19009912,0,reach-v2
0.9579479,0.3332218,0,reach-v2
0.864756,0.44263557,0,reach-v2
0.9289013,0.30595857,0,reach-v2
0.68943655,0.19803068,0,reach-v2
0.9473669,0.3891621,0,reach-v2
0.7456391,0.2834762,0,reach-v2
0.6388712,0.30641338,0,reach-v2
0.6965646,0.19651492,0,reach-v2
0.69082034,0.30929446,0,reach-v2
0.9819914,0.2884184,0,reach-v2
0.9259442,0.27202412,0,reach-v2
0.6996459,0.33901256,0,reach-v2
0.6300124,0.19161734,0,reach-v2
0.6376758,0.18542421,0,reach-v2
0.8605917,0.24437805,0,reach-v2
0.70114565,0.30255157,0,reach-v2
0.8929145,0.21838315,0,reach-v2
0.74700755,0.35213435,0,reach-v2
0.7194657,0.34758708,0,reach-v2
0.90592253,0.4405894,0,reach-v2
0.9746967,0.3405405,0,reach-v2
0.9021209,0.4220515,0,reach-v2
0.9313522,0.38414207,0,reach-v2
0.71738493,0.42150918,0,reach-v2
0.9042839,0.2948079,0,reach-v2
0.9554345,0.32794914,0,reach-v2
0.80643827,0.3424308,0,reach-v2
0.8641205,0.21426615,0,reach-v2
0.67672306,0.3861423,0,reach-v2
0.9395335,0.39037803,0,reach-v2
0.8636626,0.3159652,0,reach-v2
0.9867873,0.28692245,0,reach-v2
0.668675,0.2007069,0,reach-v2
0.8065445,0.40992144,0,reach-v2
0.70760465,0.28151745,0,reach-v2
0.82763577,0.16332783,0,reach-v2
0.860525,0.28154677,0,reach-v2
0.6346239,0.18124188,0,reach-v2
0.90351063,0.3512265,0,reach-v2
0.82852346,0.2707615,0,reach-v2
0.8841799,0.44592714,0,reach-v2
0.80797607,0.17203812,0,reach-v2
0.7749624,0.29814613,0,reach-v2
0.9179531,0.33761442,0,reach-v2
0.8654589,0.50261426,0,reach-v2
0.668998,0.3966304,0,reach-v2
0.7159223,0.41411233,0,reach-v2
0.8121659,0.31034455,0,reach-v2
0.7881362,0.1446047,0,reach-v2
0.71690357,0.24846894,0,reach-v2
0.75416666,0.39903513,0,reach-v2
0.8715498,0.47118735,0,reach-v2
0.9240334,0.3015217,0,reach-v2
0.96410924,0.2891408,0,reach-v2
0.8686345,0.24752517,0,reach-v2
0.78159213,0.13496974,0,reach-v2
0.8225089,0.39982983,0,reach-v2
0.8622488,0.35972136,0,reach-v2
0.66241276,0.23744322,0,reach-v2
0.6554286,0.33748177,0,reach-v2
0.725158,0.29268768,0,reach-v2
0.6523655,0.24042396,0,reach-v2
0.6747501,0.2351508,0,reach-v2
0.7073438,0.31129637,0,reach-v2
0.7594329,0.3432662,0,reach-v2
0.9752945,0.31809837,0,reach-v2
0.7607338,0.5051472,0,reach-v2
0.84926975,0.44975746,0,reach-v2
0.8639091,0.31810176,0,reach-v2
0.6717451,0.20424892,0,reach-v2
0.6792956,0.33245614,0,reach-v2
0.7320885,0.28834453,0,reach-v2
0.7273722,0.25430846,0,reach-v2
0.895708,0.41418153,0,reach-v2
0.9190328,0.49620467,0,reach-v2
0.8481062,0.28286374,0,reach-v2
0.68129086,0.29349858,0,reach-v2
0.70841575,0.36790243,0,reach-v2
0.90874857,0.21220241,0,reach-v2
0.89847535,0.20977625,0,reach-v2
0.86332035,0.4564082,0,reach-v2
