x,y,label,env_name
0.76838064,0.8584992,0,reach-v2
0.7858045,0.82565165,0,reach-v2
0.8168971,0.3864895,0,reach-v2
0.6660329,0.91138244,0,reach-v2
0.95187485,0.7344296,0,reach-v2
0.68143463,0.5290124,0,reach-v2
0.70568824,0.566067,0,reach-v2
0.88568854,0.49701282,0,reach-v2
0.73250926,0.28938147,0,reach-v2
0.7456231,0.5657398,0,reach-v2
0.94303256,0.84763515,0,reach-v2
0.8271425,0.7712418,0,reach-v2
0.94341296,0.71936506,0,reach-v2
0.88585395,0.36902383,0,reach-v2
0.6869924,0.7185553,0,reach-v2
0.8805913,0.55506825,0,reach-v2
0.6347442,0.85416126,0,reach-v2
0.99718654,0.4848254,0,reach-v2
1.0,0.502355,0,reach-v2
0.9848896,0.47280705,0,reach-v2
0.70070726,0.9996133,0,reach-v2
0.6969031,0.8955611,0,reach-v2
0.7348804,0.3484112,0,reach-v2
0.81918,0.6388981,0,reach-v2
0.8704607,0.6287692,0,reach-v2
0.67640316,0.88776577,0,reach-v2
0.7968741,0.3847826,0,reach-v2
0.95074517,0.57846403,0,reach-v2
0.8738009,0.64051557,0,reach-v2
0.8489627,0.8175575,0,reach-v2
0.68498117,0.4622894,0,reach-v2
0.76691866,0.38960278,0,reach-v2
0.8739028,0.4272914,0,reach-v2
0.9666286,0.5832171,0,reach-v2
0.6483253,0.7332826,0,reach-v2
0.71153265,0.7984113,0,reach-v2
0.7487001,0.8538338,0,reach-v2
0.6918661,0.28371355,0,reach-v2
0.75284463,0.74883336,0,reach-v2
0.81022084,0.4918207,0,reach-v2
0.782722,0.8136356,0,reach-v2
0.7026518,0.3678366,0,reach-v2
0.87293077,0.4027055,0,reach-v2
0.86752456,0.6214127,0,reach-v2
0.9101372,0.63056636,0,reach-v2
0.8066342,0.27760118,0,reach-v2
0.7398647,0.68159187,0,reach-v2
0.79443294,0.8460602,0,reach-v2
0.6776532,0.7386872,0,reach-v2
0.6954855,0.38850546,0,reach-v2
0.8138183,0.8168338,0,reach-v2
0.6832367,0.7819973,0,reach-v2
0.76438594,0.7973347,0,reach-v2
0.6249031,0.67519224,0,reach-v2
0.91703933,0.6387444,0,reach-v2
0.87174785,0.53909713,0,reach-v2
0.6700383,0.73319143,0,reach-v2
0.6810287,0.8080914,0,reach-v2
0.7705273,0.4053663,0,reach-v2
0.82161987,0.65040696,0,reach-v2
0.6650259,0.5351247,0,reach-v2
0.68925613,0.9737811,0,reach-v2
0.7480058,0.36959127,0,reach-v2
0.82340974,0.785154,0,reach-v2
0.716294,0.3735794,0,reach-v2
0.7270594,0.9457853,0,reach-v2
0.7817415,0.3506225,0,reach-v2
0.7162574,0.7647315,0,reach-v2
0.65034914,0.81230044,0,reach-v2
