step,task9_mean_1,task9_upper_1,task9_lower_1,task9_mean_2,task9_upper_2,task9_lower_2,task9_mean_3,task9_upper_3,task9_lower_3
30000,0.072,0.212383565,-0.068383565,0.088,0.264,-0.088,0.136,0.374383672,-0.102383672
37500,0.072,0.212383565,-0.068383565,0.088,0.264,-0.088,0.096,0.254383672,-0.062383672
45000,0.024,0.077665631,-0.029665631,0.128,0.384,-0.128,0.096,0.254383672,-0.062383672
52500,0.032,0.103554175,-0.039554175,0.128,0.384,-0.128,0.12,0.326383672,-0.086383672
60000,0.032,0.103554175,-0.039554175,0.088,0.264,-0.088,0.2,0.504363261,-0.104363261
67500,0.016,0.051777088,-0.019777088,0.08,0.24,-0.08,0.264,0.587959179,-0.059959179
75000,0.056,0.181219807,-0.069219807,0.12,0.36,-0.12,0.464,0.787959179,0.140040821
82500,0.056,0.181219807,-0.069219807,0.08,0.24,-0.08,0.584,0.907959179,0.260040821
90000,0.048,0.155331263,-0.059331263,0.08,0.24,-0.08,0.756,1.039959179,0.472040821
97500,0.048,0.155331263,-0.059331263,0.12,0.36,-0.12,0.796,1.079959179,0.512040821
105000,0.08,0.258885438,-0.098885438,0.16,0.48,-0.16,0.836,1.10197959,0.57002041
112500,0.08,0.258885438,-0.098885438,0.16,0.48,-0.16,0.756,1.119959179,0.392040821
120000,0.08,0.258885438,-0.098885438,0.24,0.65797959,-0.17797959,0.736,1.099959179,0.372040821
127500,0.164,0.449092783,-0.121092783,0.28,0.715959179,-0.155959179,0.7,1.135959179,0.264040821
135000,0.244,0.638637294,-0.150637294,0.32,0.773938769,-0.133938769,0.764,1.13397959,0.39402041
142500,0.22,0.560971663,-0.120971663,0.32,0.773938769,-0.133938769,0.768,1.12997959,0.40602041
150000,0.18,0.431528944,-0.071528944,0.32,0.773938769,-0.133938769,0.768,1.12997959,0.40602041
157500,0.22,0.560971663,-0.120971663,0.28,0.715959179,-0.155959179,0.788,1.14997959,0.42602041
