,x,y,label,env_name,cluster
2999,0.11345281,0.47542036,0,reach-v2,1
721,0.010349252,0.5524446,0,reach-v2,1
725,0.18009561,0.5385025,0,reach-v2,1
2413,0.07651761,0.459994,0,reach-v2,1
2411,0.070513345,0.5795858,0,reach-v2,1
732,0.12477072,0.6507749,0,reach-v2,1
735,0.048265852,0.5726751,0,reach-v2,1
746,0.049796063,0.61075675,0,reach-v2,1
2382,0.14807336,0.54176384,0,reach-v2,1
2373,0.040116847,0.61110437,0,reach-v2,1
2372,0.18484157,0.5549545,0,reach-v2,1
769,0.02393071,0.59550345,0,reach-v2,1
2361,0.12932569,0.61575115,0,reach-v2,1
2360,0.15909235,0.54262346,0,reach-v2,1
2358,0.10029695,0.5101923,0,reach-v2,1
2354,0.13629216,0.61808646,0,reach-v2,1
713,0.10070139,0.48962638,0,reach-v2,1
782,0.23952185,0.5631125,0,reach-v2,1
708,0.1670958,0.5551944,0,reach-v2,1
706,0.13126402,0.52813506,0,reach-v2,1
657,0.15877405,0.5214909,0,reach-v2,1
2466,0.17649826,0.58622754,0,reach-v2,1
2464,0.060296226,0.59031063,0,reach-v2,1
671,0.10020201,0.50276065,0,reach-v2,1
2455,0.06713036,0.6133573,0,reach-v2,1
674,0.09905213,0.57783467,0,reach-v2,1
676,0.06923825,0.6480864,0,reach-v2,1
2453,0.15044548,0.46220165,0,reach-v2,1
682,0.14069755,0.5890535,0,reach-v2,1
683,0.03227766,0.52597743,0,reach-v2,1
687,0.16649882,0.61319184,0,reach-v2,1
2435,0.19569601,0.5028246,0,reach-v2,1
695,0.059477255,0.64824826,0,reach-v2,1
698,0.15120861,0.4946286,0,reach-v2,1
700,0.15952379,0.5889705,0,reach-v2,1
2427,0.1373559,0.50064415,0,reach-v2,1
2350,0.03707273,0.5283326,0,reach-v2,1
2347,0.22173952,0.5823724,0,reach-v2,1
790,0.089702815,0.46037835,0,reach-v2,1
2250,0.11220836,0.59761286,0,reach-v2,1
2249,0.15065536,0.6022053,0,reach-v2,1
918,0.106430285,0.4812277,0,reach-v2,1
920,0.10392948,0.5603768,0,reach-v2,1
2241,0.036821887,0.6473418,0,reach-v2,1
928,0.15526824,0.50502646,0,reach-v2,1
930,0.09622838,0.63696295,0,reach-v2,1
933,0.15006372,0.47458947,0,reach-v2,1
939,0.113403514,0.5997106,0,reach-v2,1
943,0.2209641,0.59279466,0,reach-v2,1
948,0.07847448,0.51598257,0,reach-v2,1
2230,0.13639134,0.6033714,0,reach-v2,1
954,0.16508037,0.59750164,0,reach-v2,1
958,0.07740529,0.48158333,0,reach-v2,1
2227,0.05992432,0.56768686,0,reach-v2,1
907,0.1758668,0.48806113,0,reach-v2,1
905,0.097865194,0.60728985,0,reach-v2,1
904,0.056712404,0.5484615,0,reach-v2,1
902,0.11780211,0.6047466,0,reach-v2,1
2342,0.13557681,0.49857694,0,reach-v2,1
809,0.10083327,0.49973086,0,reach-v2,1
820,0.04627009,0.60170966,0,reach-v2,1
2314,0.14211243,0.4547884,0,reach-v2,1
2305,0.15808384,0.5441026,0,reach-v2,1
830,0.028007708,0.6249049,0,reach-v2,1
2297,0.09062314,0.6442809,0,reach-v2,1
2470,0.07100125,0.6054756,0,reach-v2,1
843,0.104481556,0.58321977,0,reach-v2,1
845,0.13288733,0.6020254,0,reach-v2,1
2293,0.06558355,0.5771266,0,reach-v2,1
2289,0.10821591,0.5836002,0,reach-v2,1
2282,0.23341165,0.5635095,0,reach-v2,1
2274,0.08062986,0.588341,0,reach-v2,1
2272,0.15743913,0.6369635,0,reach-v2,1
2263,0.091030344,0.6069803,0,reach-v2,1
2295,0.1475451,0.5419879,0,reach-v2,1
964,0.009046662,0.54900825,0,reach-v2,1
652,0.071940355,0.64705217,0,reach-v2,1
2474,0.12455103,0.5487608,0,reach-v2,1
412,0.08092409,0.5138612,0,reach-v2,1
2669,0.14271858,0.50950366,0,reach-v2,1
424,0.11222659,0.4835291,0,reach-v2,1
432,0.037143447,0.48510778,0,reach-v2,1
434,0.06714319,0.602148,0,reach-v2,1
436,0.12979266,0.6531503,0,reach-v2,1
2656,0.103627875,0.5022315,0,reach-v2,1
442,0.17314716,0.55029637,0,reach-v2,1
446,0.09300359,0.5432267,0,reach-v2,1
449,0.18549961,0.49674454,0,reach-v2,1
452,0.11896931,0.4634637,0,reach-v2,1
2642,0.09481349,0.57322437,0,reach-v2,1
2634,0.007568808,0.53611964,0,reach-v2,1
463,0.1994352,0.6398716,0,reach-v2,1
465,0.2062586,0.53546876,0,reach-v2,1
2680,0.20569,0.5949164,0,reach-v2,1
470,0.09126161,0.54221565,0,reach-v2,1
399,0.117879204,0.65623516,0,reach-v2,1
388,0.035402846,0.543431,0,reach-v2,1
2747,0.11310932,0.6608315,0,reach-v2,1
323,0.198238,0.5634607,0,reach-v2,1
327,0.18195455,0.47070172,0,reach-v2,1
2726,0.064458735,0.45838398,0,reach-v2,1
351,0.064188235,0.48946014,0,reach-v2,1
353,0.2284285,0.5759438,0,reach-v2,1
2720,0.21081397,0.52957946,0,reach-v2,1
364,0.19077148,0.5253506,0,reach-v2,1
370,0.039612517,0.5008401,0,reach-v2,1
371,0.1836437,0.52971077,0,reach-v2,1
2705,0.2028276,0.61893284,0,reach-v2,1
2701,0.16449328,0.5021434,0,reach-v2,1
384,0.06858742,0.46359083,0,reach-v2,1
2696,0.1922387,0.5440075,0,reach-v2,1
2694,0.07032379,0.473581,0,reach-v2,1
2689,0.2013179,0.52780074,0,reach-v2,1
2621,0.17976817,0.48694596,0,reach-v2,1
479,0.1819066,0.5323128,0,reach-v2,1
482,0.099434264,0.56047636,0,reach-v2,1
2537,0.029504634,0.5451835,0,reach-v2,1
569,0.14466572,0.6234376,0,reach-v2,1
575,0.06604562,0.5007651,0,reach-v2,1
2526,0.10870314,0.47629112,0,reach-v2,1
581,0.05602573,0.6353322,0,reach-v2,1
2523,0.07834792,0.5495058,0,reach-v2,1
592,0.12762344,0.56625515,0,reach-v2,1
593,0.06569669,0.6015332,0,reach-v2,1
610,0.019523306,0.57783115,0,reach-v2,1
611,0.092184626,0.63940483,0,reach-v2,1
613,0.18268529,0.583342,0,reach-v2,1
2500,0.06882116,0.5779636,0,reach-v2,1
2496,0.12681516,0.56605536,0,reach-v2,1
636,0.06636534,0.52565086,0,reach-v2,1
645,0.02858749,0.4871594,0,reach-v2,1
2548,0.07858292,0.61127955,0,reach-v2,1
2557,0.12072085,0.512123,0,reach-v2,1
2560,0.010752806,0.5817876,0,reach-v2,1
2562,0.056703307,0.6337014,0,reach-v2,1
