,x,y,label,env_name,cluster
1041,0.83187866,0.53485185,0,reach-v2,1
809,0.7812309,0.53352493,0,reach-v2,1
1421,0.959167,0.55412567,0,reach-v2,1
432,0.9029221,0.5185947,0,reach-v2,1
431,0.82845926,0.60410357,0,reach-v2,1
811,0.7524277,0.58732533,0,reach-v2,1
2430,0.8489262,0.47914663,0,reach-v2,1
812,0.73697627,0.5574319,0,reach-v2,1
2432,0.8384769,0.68175095,0,reach-v2,1
1187,0.8753111,0.55514485,0,reach-v2,1
421,0.8261511,0.59492904,0,reach-v2,1
2440,0.93362784,0.57573617,0,reach-v2,1
2443,0.7921087,0.5978541,0,reach-v2,1
1414,0.8159954,0.50225264,0,reach-v2,1
2448,0.82450145,0.44703078,0,reach-v2,1
825,0.85059327,0.5292535,0,reach-v2,1
1850,0.75034666,0.4470355,0,reach-v2,1
1524,0.79577464,0.6001404,0,reach-v2,1
840,0.73972774,0.5534683,0,reach-v2,1
839,0.8206461,0.47399682,0,reach-v2,1
1194,0.9847889,0.53552276,0,reach-v2,1
1837,0.77473307,0.5607988,0,reach-v2,1
2479,0.9868738,0.5321525,0,reach-v2,1
1840,0.87574095,0.504756,0,reach-v2,1
436,0.9123235,0.46430087,0,reach-v2,1
2475,0.89200014,0.61960256,0,reach-v2,1
833,0.9093833,0.57864195,0,reach-v2,1
1405,0.85978866,0.60974103,0,reach-v2,1
829,0.7590102,0.6091655,0,reach-v2,1
1408,0.95594954,0.6156068,0,reach-v2,1
2456,0.8551566,0.50372,0,reach-v2,1
2455,0.88831294,0.6716109,0,reach-v2,1
2473,0.95627993,0.56535566,0,reach-v2,1
437,0.83776134,0.59275764,0,reach-v2,1
2422,0.85443705,0.4817629,0,reach-v2,1
439,0.85488284,0.4259968,0,reach-v2,1
2388,0.87624377,0.56077415,0,reach-v2,1
2385,0.98264605,0.5645943,0,reach-v2,1
469,0.83125246,0.51004994,0,reach-v2,1
1430,0.88883334,0.41223758,0,reach-v2,1
471,0.89733297,0.44345304,0,reach-v2,1
2381,0.84783727,0.6622506,0,reach-v2,1
801,0.85669106,0.4743979,0,reach-v2,1
1432,0.7660096,0.43555614,0,reach-v2,1
797,0.8519471,0.559853,0,reach-v2,1
2366,0.8379625,0.5423906,0,reach-v2,1
2363,0.8195938,0.5630463,0,reach-v2,1
2358,0.95381504,0.5078284,0,reach-v2,1
482,0.8787964,0.6478881,0,reach-v2,1
483,0.869483,0.64194506,0,reach-v2,1
2371,0.86839485,0.529467,0,reach-v2,1
385,0.76963687,0.52832615,0,reach-v2,1
462,0.8263468,0.60935396,0,reach-v2,1
1174,0.99722505,0.5342415,0,reach-v2,1
1183,0.9822516,0.5503623,0,reach-v2,1
1182,0.939288,0.5354166,0,reach-v2,1
1181,0.7452766,0.51029694,0,reach-v2,1
1180,0.9282002,0.57654715,0,reach-v2,1
2413,0.93091977,0.42572907,0,reach-v2,1
1422,0.998454,0.54568464,0,reach-v2,1
2394,0.8878307,0.609348,0,reach-v2,1
2408,0.76601624,0.53504664,0,reach-v2,1
452,0.7879729,0.48188367,0,reach-v2,1
454,0.7643009,0.4456751,0,reach-v2,1
2403,0.77783346,0.55571,0,reach-v2,1
1425,0.9005577,0.42503658,0,reach-v2,1
2401,0.9725529,0.5261978,0,reach-v2,1
458,0.9030901,0.5718666,0,reach-v2,1
1870,0.9346502,0.51858675,0,reach-v2,1
2356,0.9564742,0.51161474,0,reach-v2,1
384,0.86727715,0.42036435,0,reach-v2,1
2488,0.90299314,0.5991063,0,reach-v2,1
1394,0.92838544,0.43002775,0,reach-v2,1
1080,0.9643014,0.4871923,0,reach-v2,1
2571,0.96549374,0.5687308,0,reach-v2,1
1391,0.9347288,0.48688123,0,reach-v2,1
322,0.820719,0.51304394,0,reach-v2,1
2577,0.8952337,0.4622095,0,reach-v2,1
875,0.75869554,0.6299507,0,reach-v2,1
876,0.7947568,0.4278722,0,reach-v2,1
1212,0.9555606,0.5611963,0,reach-v2,1
2583,0.7571933,0.43886128,0,reach-v2,1
877,0.8786675,0.5025483,0,reach-v2,1
313,0.8223164,0.6033589,0,reach-v2,1
879,0.911031,0.6482114,0,reach-v2,1
2598,0.8546646,0.65299755,0,reach-v2,1
1533,0.973892,0.5162788,0,reach-v2,1
1778,0.85624194,0.56663316,0,reach-v2,1
1535,0.9179095,0.63752294,0,reach-v2,1
1375,0.8096854,0.44454312,0,reach-v2,1
1762,0.8423253,0.4238872,0,reach-v2,1
1763,0.98585016,0.5646777,0,reach-v2,1
292,0.8343153,0.63876194,0,reach-v2,1
294,0.87413543,0.5888487,0,reach-v2,1
1767,0.84491485,0.49687576,0,reach-v2,1
2563,0.87427366,0.6502838,0,reach-v2,1
889,0.8213572,0.6150174,0,reach-v2,1
300,0.90905124,0.4289948,0,reach-v2,1
1536,0.90569544,0.6141432,0,reach-v2,1
2609,0.79959506,0.57580954,0,reach-v2,1
304,0.92403316,0.6343246,0,reach-v2,1
2607,0.92131567,0.5341782,0,reach-v2,1
884,0.8683995,0.5061378,0,reach-v2,1
298,0.92717415,0.5990571,0,reach-v2,1
2560,0.7789533,0.61432517,0,reach-v2,1
335,0.8985527,0.52135974,0,reach-v2,1
1397,0.910363,0.642993,0,reach-v2,1
1817,0.79064244,0.5640051,0,reach-v2,1
1200,0.7806074,0.5327539,0,reach-v2,1
2506,0.8268813,0.43275744,0,reach-v2,1
1088,0.8672581,0.60333115,0,reach-v2,1
2503,0.8508514,0.5290643,0,reach-v2,1
1089,0.7973675,0.5136874,0,reach-v2,1
1527,0.9090557,0.5667531,0,reach-v2,1
371,0.8013029,0.6461608,0,reach-v2,1
373,0.7631746,0.503281,0,reach-v2,1
1820,0.9313895,0.5908491,0,reach-v2,1
376,0.8224523,0.6719934,0,reach-v2,1
2496,0.85520434,0.48862112,0,reach-v2,1
1526,0.87053216,0.5168093,0,reach-v2,1
2492,0.807405,0.58092326,0,reach-v2,1
372,0.8813694,0.3917898,0,reach-v2,1
383,0.8487857,0.63566124,0,reach-v2,1
361,0.8937623,0.4923857,0,reach-v2,1
2529,0.8452554,0.55987996,0,reach-v2,1
1799,0.91170573,0.6141822,0,reach-v2,1
1800,0.82363707,0.4730058,0,reach-v2,1
1801,0.78348637,0.51147926,0,reach-v2,1
1204,0.9101101,0.53530025,0,reach-v2,1
342,0.90851825,0.54980296,0,reach-v2,1
2546,0.9674584,0.5538507,0,reach-v2,1
2528,0.8288101,0.61157113,0,reach-v2,1
2541,0.88830197,0.6085558,0,reach-v2,1
2537,0.7608603,0.63168544,0,reach-v2,1
1808,0.85006934,0.45072356,0,reach-v2,1
351,0.9726874,0.58506066,0,reach-v2,1
1811,0.93559444,0.59682953,0,reach-v2,1
2531,0.81159014,0.5399131,0,reach-v2,1
1398,0.79744047,0.55179,0,reach-v2,1
2540,0.88888216,0.4349782,0,reach-v2,1
1891,0.7778754,0.45385396,0,reach-v2,1
487,0.9068408,0.6393617,0,reach-v2,1
1893,0.9003517,0.5781457,0,reach-v2,1
2007,0.8440728,0.5877898,0,reach-v2,1
718,0.85696644,0.54460233,0,reach-v2,1
2154,0.8086073,0.5525587,0,reach-v2,1
2157,0.7604669,0.5020769,0,reach-v2,1
2159,0.7707847,0.59934306,0,reach-v2,1
621,0.9339438,0.43509847,0,reach-v2,1
2162,0.80081344,0.5508111,0,reach-v2,1
1505,0.88653344,0.4511409,0,reach-v2,1
618,0.7571387,0.4549821,0,reach-v2,1
1993,0.887922,0.42443228,0,reach-v2,1
2164,0.82379246,0.43887734,0,reach-v2,1
1992,0.82560855,0.5946001,0,reach-v2,1
613,0.7770761,0.55300194,0,reach-v2,1
1990,0.89655596,0.4548366,0,reach-v2,1
1989,0.9312647,0.51725245,0,reach-v2,1
2179,0.844452,0.687823,0,reach-v2,1
730,0.9421413,0.485583,0,reach-v2,1
2209,0.79478717,0.47099528,0,reach-v2,1
588,0.95124334,0.4742505,0,reach-v2,1
1467,0.90317065,0.63913995,0,reach-v2,1
1974,0.8789128,0.437698,0,reach-v2,1
737,0.8679471,0.425801,0,reach-v2,1
2199,0.9873207,0.5871651,0,reach-v2,1
2008,0.783031,0.52452713,0,reach-v2,1
736,0.83888954,0.5400939,0,reach-v2,1
2190,0.8254662,0.49278265,0,reach-v2,1
733,0.85235786,0.6382632,0,reach-v2,1
1983,0.8078872,0.47780362,0,reach-v2,1
2185,0.95544004,0.5785302,0,reach-v2,1
604,0.9161617,0.65727293,0,reach-v2,1
1140,0.87103164,0.5052195,0,reach-v2,1
1473,0.79665685,0.4705534,0,reach-v2,1
630,0.8286002,0.6733518,0,reach-v2,1
1136,0.9579477,0.5861595,0,reach-v2,1
634,0.8799816,0.6473435,0,reach-v2,1
659,0.93015003,0.6291778,0,reach-v2,1
1497,0.79785806,0.42847127,0,reach-v2,1
661,0.8966916,0.48507255,0,reach-v2,1
1495,0.7809364,0.4325868,0,reach-v2,1
663,0.76919013,0.5218648,0,reach-v2,1
2052,0.9214983,0.53343904,0,reach-v2,1
655,0.9541263,0.58948296,0,reach-v2,1
2097,0.89120984,0.61545306,0,reach-v2,1
2093,0.8460787,0.4251707,0,reach-v2,1
2076,0.8069365,0.6440447,0,reach-v2,1
689,0.7789535,0.46627188,0,reach-v2,1
2079,0.8561487,0.5824842,0,reach-v2,1
685,0.7861885,0.59721977,0,reach-v2,1
678,0.7849835,0.44379988,0,reach-v2,1
693,0.9046538,0.5156726,0,reach-v2,1
1466,0.78172636,0.48341572,0,reach-v2,1
2042,0.80249095,0.42767632,0,reach-v2,1
2111,0.95186913,0.624772,0,reach-v2,1
2142,1.0,0.5328975,0,reach-v2,1
2138,0.78675014,0.5067589,0,reach-v2,1
2136,0.9341148,0.59633225,0,reach-v2,1
