,x,y,label,env_name,cluster
0,0.45192438,0.37557477,0,reach-v2,0
1244,0.0916598,0.503998,0,reach-v2,0
1243,0.38328108,0.10658537,0,reach-v2,0
1242,0.33915794,0.09191083,0,reach-v2,0
1241,0.494124,0.37868744,0,reach-v2,0
2375,0.3629284,0.3611181,0,reach-v2,0
2376,0.29942325,0.2397365,0,reach-v2,0
2378,0.36008215,0.5650826,0,reach-v2,0
2379,0.5781093,0.20621942,0,reach-v2,0
1235,0.3421514,0.48321542,0,reach-v2,0
2381,0.32679725,0.49515033,0,reach-v2,0
1247,0.421752,0.4065068,0,reach-v2,0
2383,0.1704277,0.29252768,0,reach-v2,0
2384,0.53465205,0.32064328,0,reach-v2,0
1227,0.54079765,0.37076214,0,reach-v2,0
1226,0.21443334,0.23540853,0,reach-v2,0
2386,0.13739651,0.2959924,0,reach-v2,0
2387,0.55395675,0.32914653,0,reach-v2,0
1223,0.4137586,0.22041605,0,reach-v2,0
1222,0.16242023,0.30512184,0,reach-v2,0
1220,0.24782373,0.4518927,0,reach-v2,0
1219,0.4220038,0.21518494,0,reach-v2,0
2391,0.27392876,0.35878292,0,reach-v2,0
1230,0.27932733,0.37305808,0,reach-v2,0
1248,0.18243332,0.38431993,0,reach-v2,0
1249,0.48599592,0.10225122,0,reach-v2,0
1250,0.053018875,0.42575148,0,reach-v2,0
1280,0.52995574,0.052495748,0,reach-v2,0
2358,0.49419415,0.24961983,0,reach-v2,0
1278,0.4770762,0.083373636,0,reach-v2,0
1277,0.3781261,0.052684035,0,reach-v2,0
1276,0.34659025,0.6238023,0,reach-v2,0
1274,0.27335614,0.6250666,0,reach-v2,0
1272,0.24542734,0.40495473,0,reach-v2,0
1271,0.22358802,0.35080183,0,reach-v2,0
1270,0.515667,0.315328,0,reach-v2,0
1269,0.2570875,0.3294432,0,reach-v2,0
2361,0.3507258,0.2664362,0,reach-v2,0
1265,0.24434344,0.323019,0,reach-v2,0
1263,0.55066967,0.12468706,0,reach-v2,0
2365,0.16977362,0.597348,0,reach-v2,0
1261,0.22895394,0.2025891,0,reach-v2,0
1260,0.33399886,0.13732086,0,reach-v2,0
2366,0.21736886,0.55503964,0,reach-v2,0
2368,0.55618125,0.27101663,0,reach-v2,0
2369,0.3128475,0.19618383,0,reach-v2,0
1254,0.39438885,0.12841445,0,reach-v2,0
1253,0.28912982,0.47810024,0,reach-v2,0
2371,0.19650881,0.24948733,0,reach-v2,0
2372,0.5312399,0.08393213,0,reach-v2,0
2392,0.25310466,0.2181471,0,reach-v2,0
2393,0.58657676,0.1187429,0,reach-v2,0
1213,0.31663638,0.09777402,0,reach-v2,0
1212,0.4570913,0.27610472,0,reach-v2,0
1177,0.3096086,0.59464055,0,reach-v2,0
1175,0.58959913,0.3350492,0,reach-v2,0
1174,0.3571575,0.46156496,0,reach-v2,0
